trial,position,orientation,mean_velocity,std_velocity,mean_acceleration,std_acceleration,startup_acceleration,displacement,directional_bias
normal_front (3),front,normal,35.336813422052174,16.646584662871184,0.04437042962300071,4.562550312710582,10.199999999997544,318.55840908693654,87.38
normal_front (4),front,normal,47.703733110771054,317.6694798598888,0.006465347087078825,112.86013121679525,10.199999999997544,320.1717465673697,-89.08000000000001
normal_front (5),front,normal,31.78649453443764,14.561746295038171,0.01687411901879053,2.8689479787406187,10.199999999997544,295.78500249336514,41.140000000000015
normal_front (6),front,normal,32.17316954337242,14.472080838551264,0.00629089827233893,2.361425520539843,10.199999999997544,297.46376350742287,51.849999999999994
normal_front (7),front,normal,31.49820598614974,15.24294138538627,-0.016114924752978908,2.875224903495279,10.199999999997544,295.699204090914,39.27000000000001
normal_front (8),front,normal,32.74557707877817,15.511701907383033,0.015363673740440358,3.4343419517461236,10.199999999997544,294.6484510395397,31.960000000000008
normal_front (9),front,normal,32.506271533138566,16.1423671531648,-0.018943204048003686,3.8465976734750913,10.200000000000102,295.2876021779445,36.040000000000006
right_back (1),back,right,19.238311234110267,14.089705272027901,0.033066264285529876,2.2797965568099396,10.200000000000955,54.04422725879241,-51.68000000000001
right_back (10),back,right,22.36636851067318,15.744451132476764,0.006305962872981992,2.9820430297403577,14.424978336206317,53.78290620634032,-51.510000000000005
right_back (2),back,right,20.052070514211742,16.992353224114737,0.05078824059402097,2.4485096638773194,10.200000000000955,55.2690890100425,-52.190000000000005
right_back (3),back,right,23.73348683013024,15.007840853852404,0.07490434930416644,2.485434612889481,10.200000000000102,53.5270585778819,-51.68000000000001
right_back (4),back,right,20.389768199873956,13.026724433898222,0.04197201793876168,2.880776647122922,10.200000000000102,52.03360933089306,-52.02000000000001
right_back (5),back,right,23.372646873163237,13.82037769675185,0.049053117732341854,1.9328519155869601,14.424978336206317,53.10969779616526,-51.68000000000001
right_back (6),back,right,16.292028754521194,11.70262914013705,0.03837087404430643,2.6217428545955985,10.200000000000955,52.321625548142144,-51.510000000000005
right_back (7),back,right,23.429172595729565,12.947241195641146,-0.023682881413647387,2.3294595306715395,20.400000000000205,53.89965213245816,-52.02000000000001
right_back (8),back,right,16.759613126353678,16.208774409404093,0.00028127650246803,3.0083346898675813,14.424978336205111,50.22859942303788,-46.41000000000001
right_back (9),back,right,18.658990564652555,13.765843488400417,0.03218209051306304,2.0991783728091633,10.200000000000102,53.669406555317906,-51.34000000000001
right_front (1),front,right,23.995318875614167,17.573374121885248,0.029713913586423023,3.1526565827052413,10.200000000000102,55.656504561461645,-53.21000000000001
right_front (10),front,right,22.395343830899073,17.64785710532862,-0.035304868000035954,2.738604435085324,10.200000000000102,54.69484162149115,-52.36000000000001
right_front (2),front,right,19.26534765885336,16.963678244517514,0.03882261020244308,2.9576058480674003,14.424978336206317,55.64611846301591,-53.040000000000006
right_front (3),front,right,20.848158920341614,19.413043801325454,0.029178424378386254,3.747989521021445,10.200000000000102,55.10858825990737,-52.53000000000001
right_front (4),front,right,23.713326776696334,18.581801831691983,0.03469116196025892,3.88005999349195,10.200000000000102,55.069505173008416,-52.70000000000001
right_front (5),front,right,21.342888046952503,17.568067391839662,-0.010287158858344534,2.9937684087124703,10.200000000000102,55.49399967564061,-53.040000000000006
right_front (6),front,right,24.118630228389026,17.692814244948128,-1.3185329117197736e-15,2.9546728426185656,10.200000000000102,55.54423192375605,-53.040000000000006
right_front (7),front,right,23.482518224343472,19.240932518587535,0.06184478807392176,4.613577367812356,10.200000000000102,55.28163709587481,-52.87000000000001
right_front (8),front,right,22.78944855167542,18.64084813098204,0.05985049543330091,3.555732567344587,10.200000000000102,55.28163709587481,-52.87000000000001
right_front (9),front,right,21.594942867411223,18.184354545750395,0.04585516072215833,3.4671343835895176,14.424978336206317,55.10858825990737,-52.53000000000001
